genus	ERR2162200	ERR2162201	ERR2162202	ERR2162203	ERR2162204	ERR2162205	ERR2162206	ERR2162207	ERR2162208	ERR2162209	ERR2162210	ERR2162211	ERR2162212	ERR2162213	ERR2162214	ERR2162215	ERR2162216	ERR2162217	ERR2162218	ERR2162219	ERR2162220	ERR2162221	ERR2162222	ERR2162223	ERR2162224
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter	0	0	0	0	0	0.05332	0	0	0	0	0	0	0	0.02553	0	0	0	0	0	0.04205	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified	0.0884	0.41563	0	0	0	0	0	0	0	0	0.36326	0	0	0.02718	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	1.0799	2.42393	0	2.49789	0	0	0	0	0	0	5.86629	0	0	2.11666	0	0	0	0	0	0	1.65348	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	0	0	0.81988	1.08378	0	0	0	0	4.76934	1.58545	0.53121	0	0.13541	0	0	2.78194	0	0	1.05778	2.28193	0.61756	0.7521	0	0	0.23769
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	0	0	0	0.87405	0	0	0	0	0	0	0	0	0	0.02581	0	0	0	0	0	0	0	0	0	0.99334	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53435	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	0	0.05608	0.03834	0	0.09148	0.00875	0.00856	0.00184	0	0.02202	0.11526	0.0003	0.05553	0	0.00192	0	0	0.00609	0	0.07407	0.02984	0.00524	0.03517	0.37543	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	0	0	0	0	0	0	0	0	0	0.00073	0	0	0.0517	0	0.19286	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0	0.07214	0	0.04552	0.01299	0.47563	0	0.58673	0.73745	0	0.48859	0.10701	0	0.21394	1.18263	0.45394	0	0	0.0727	0.25531	0	0.0047	0.03381	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter	0	0.02469	0	0	0	0.02951	0	0.02579	0.02625	0	0	0	0.0393	0	0	0	0	0	0.02587	0	0.00225	0.00307	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0	0.11463	0	0.00549	0.59605	0.29489	0	0.83025	0.06148	0	0.4129	0.03519	0	0.29854	0.83023	0	0	0	0.00409	0.05045	0.00747	0.00321	0.19319	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	0	0.64741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93711	2.22244	1.49714	0	0	2.04233	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	0	0	0.15609	0.14585	0	0	0	0	0	0	0	0	0	0	0	0	0.09542	0	0	0	0	0.24253	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	0	1.85346	3.17817	0.08551	0.6999	0.7131	0	2.27489	0.58279	0.79937	0.04546	0	1.49498	1.51674	0.9856	0	0	0.8588	0.69749	0.81675	0.48386	0.40121	0.82565	0	0.00546
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0.70565	0.07727	0	0	0.02014	0	0.20488	0	0.14688	0.03796	0	0.27802	0	0	0.24776	0	0	0.19114	0	0.24342	0.03032	0	0	0.36837
