family	SRR5930493	SRR5930494	SRR5930495	SRR5930496	SRR5930497	SRR5930498	SRR5930499	SRR5930500	SRR5930501	SRR5930502	SRR5930503	SRR5930504	SRR5930505	SRR5930506	SRR5930507	SRR5930508	SRR5930509	SRR5930510	SRR5930511	SRR5930512	SRR5930513	SRR5930514	SRR5930515	SRR5930516	SRR5930517	SRR5930518	SRR5930519	SRR5930520	SRR5930521	SRR5930522	SRR5930523	SRR5930524	SRR5930525	SRR5930526	SRR5930527	SRR5930528	SRR5930529	SRR5930530	SRR5930531	SRR5930532	SRR5930533	SRR5930534	SRR5930535	SRR5930536
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.08322	0.34553	0.59203	1.80255	0.43766	0.703	0.09275	0.09474	0.4308	0.00412	0.14292	0.86013	0.44029	1.20151	0.00282	0.21234	1.11487	0.32271	0.03442	0.08967	0	0.11884	1.07897	0.03055	0.53567	0	1.01591	0.01787	0.79092	0.23375	0	0	0.33829	0.43924	0.60539	0.35756	0	0.92286	0.07617	0	0.4195	0.28681	0.16853	0.55774
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0	0	0	0	0	0	0.05881	0.22138	0	0	0	0	0	0	0.13095	0	0	0	0	0	0	0	0.02136	0	0	0.00014	0	0.00127	0	0	0	0	0	0.00038	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	8.51108	1.04135	0.01309	0.02256	0.08316	0.74602	0.98741	1.01292	1.13212	1.84585	0.02104	0.02644	0.01064	0.56729	0.4199	3.40139	0.43683	1.11315	0.24256	10.38874	0.06686	1.38565	3.16783	1.76071	0.98927	0.26042	0.17309	0.54463	0.01885	6.33298	5.03183	7.69108	0.94282	0.10329	0.0025	0.0744	0.38847	1.8678	0.01262	0.01393	10.00016	0.79596	6.1334	0.01196
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0	0	0	0	0	0	0	0	0.02728	0.01615	0.03256	0	0.00122	0	0	0.0016	0	0.02193	0	0	0.00154	0	0	0.00077	0	0.18747	0	0.15863	0.28647	0	0.00179	0	0	0.06374	0.00242	0.00587	0	0	0.11127	0	0.051	0.01997	0.01074	0.01643
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0	0	0	0	0	0.01398	0	0	0.00576	0	0	0	0.01528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00535	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	0	0	0.38234	0.29304	0	0.20873	0.00379	0.04552	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30422	0	0	0	0	0	0	0	1.64085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	0.01636	0.6406	20.1241	21.84071	0.02518	0.1328	10.66491	11.27992	9.87719	0.00638	0.10339	0.00285	0	0.01657	1.16093	0.01207	8.67109	0.12836	0.06546	0.03563	0.06119	0.54036	0.05655	0.00535	36.236	0	1.30853	0.02794	0.1101	0.5545	0.03327	0.06794	0.45898	0.00222	5.16203	0.05978	3.03102	2.8987	0.00787	0.00755	0.04641	8.83666	0.00185	0.00665
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	0	0	0.00043	0	0.00051	0	0	0	0	0	0	0.00035	0	0.00158	0.00031	0	0	0	0	0	0	0	0	0	0	0.00312	0	0	0	0	0	0	0	0	0	0	0.00093	0	0	0.00036	0	0	0.00312	0.0004
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae	14.73045	0	0.00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	0.02451	0	0	0.08006	0	0.01612	0.00185	0.00311	0	0.13141	0.0009	0	0.07805	0.44443	0	0.00211	1.02496	0	0.02025	0	0.0071	0.42175	0.00437	0	0	0	0.00379	0.03418	0.00107	0	0	0.02826	0.00138	0	0.0158	0.01044	0.00213	0.00313	0.00075	10.64069	0	0.00525	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Baculoviridae	0	0	0.00293	0	0	0	0	0	0	0	0	0	0.00238	0.00282	0	0	0	0	0	0	0	0	0	0.00174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Circoviridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Flaviviridae	0	0	0	0	0.0016	0.00716	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00196	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Hepadnaviridae	0	0	0	0	0	0	0.00356	0	0.0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	0	0	0	0	0.00525	0.00467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00335	0	0	0.00476	0	0.01009	0	0	0.00727	0.0019	0
